42075	0	228263	1
35759	0	287458	1
139085	0	321407	1
539088	0	342356	1
17783	0	422588	1
37254	0	453978	1
41129	0	573046	1
5152	0	655744	1
308442	0	720501	1
530687	0	810569	1
5736	0	1064524	1
43353	0	1132228	1
6623	0	1158718	1
306966	0	1322471	1
42715	0	1537185	1
474261	0	1664648	1
5151	0	1843716	1
5151	0	1843718	1
20978	0	2244463	1
2622	0	215233	1
309093	0	2419833	1
202289	0	1555550	1
35758	0	2720276	1
37253	0	287459	1
32334	0	931948	1
43041	0	3211494	1
202562	0	356790	1
464698	0	3283541	1
1064231	0	1640311	1
336278	0	3310369	1
34669	0	3338948	1
312657	0	287458	1
115063	0	810574	1
1061907	0	4240700	1
1061907	0	4240708	1
31311	0	4447641	1
1013857	0	4619495	1
104619	0	1403187	1
43108	0	5128195	1
36852	0	5392978	1
196777	0	4950376	1
41992	0	5468272	1
173626	0	5501826	1
32908	0	5574708	1
12414	0	5585446	1
11173	0	5695116	1
302489	0	5697100	1
2625	0	5734738	1
102762	0	5756175	1
317509	0	5764031	1
33128	0	5781801	1
34189	0	5849447	1
21433	0	5854655	1
105	0	810574	1
202823	0	5863927	1
42698	0	2384354	1
43542	0	6005670	1
13857	0	6023525	1
480927	0	6038956	1
21106	0	6206413	1
111397	0	503760	1
36861	0	6274866	1
321509	0	6281090	1
311049	0	189197	1
1177387	0	6410340	1
104622	0	6493966	1
2517	0	1910226	1
216611	0	5500001	1
93691	0	6671472	1
23943	0	6822989	1
6621	0	1158717	1
32890	0	7833941	1
10192	0	139179	1
246857	0	187533	1
42075	0	228263	1
255698	0	282366	1
2666	0	283125	1
6274	0	306439	1
530922	0	311339	1
4895	0	338152	1
141812	0	429070	1
445291	0	444951	1
5100	0	459201	1
256982	0	474009	1
253388	0	496437	1
146093	0	570459	1
254053	0	623245	1
262466	0	649475	1
5552	0	746066	1
472361	0	750284	1
5593	0	785317	1
23260	0	895573	1
390585	0	984646	1
393070	0	1011410	1
6645	0	1067093	1
170100	0	1082453	1
43353	0	1132228	1
6444	0	1213625	1
6099	0	1237747	1
37252	0	1403183	1
270739	0	1504889	1
7010	0	1505340	1
5150	0	948511	1
498089	0	1541724	1
441238	0	1550784	1
493741	0	1560040	1
2541	0	1642085	1
5151	0	1843716	1
5151	0	1843718	1
246606	0	1849014	1
203422	0	649481	1
4806	0	2005113	1
3396	0	2037165	1
5433	0	2221049	1
21030	0	2229798	1
20978	0	2244463	1
